Usuario,Tag,THT_pre,ND_pre,HPD_pre,NPPD_pre,DCJ_pre,Riesgo_pre,THT_post,ND_post,TPP_post,HPD_post,NPPD_post,DCJ_post,Riesgo_post,PRTPJ_HPD,PRTPJ_NPPD,PRTPJ_DCJ,dif_HPD,dif_NPPD,dif_DCJ
OMG Ken,LAS,28.77,6,4.79,10.0,6,Alto,26.79,5,55,5.36,11.0,5,Alto,-11.899791231732783,-10.0,16.666666666666664,-0.5700000000000003,-1.0,1
aKaiRe,LAS,28.91,6,4.82,10.0,6,Alto,26.61,6,54,4.43,9.0,6,Alto,8.091286307053954,10.0,0.0,0.39000000000000057,1.0,0
Emahtz,LAS,28.02,8,3.5,7.5,6,Alto,23.9,9,57,2.66,6.33,5,Bajo,23.999999999999996,15.6,16.666666666666664,0.8399999999999999,1.17,1
puckeffideb,LAS,30.86,13,2.37,4.62,9,Medio,28.13,12,56,2.34,4.67,10,Medio,1.2658227848101369,-1.0822510822510785,-11.11111111111111,0.03000000000000025,-0.04999999999999982,-1
Come Around Me,diazk,28.23,11,2.57,5.45,7,Medio,27.43,8,59,3.43,7.38,4,Medio,-33.46303501945527,-35.41284403669724,42.857142857142854,-0.8600000000000003,-1.9299999999999997,3
NeuraNura,Brem,28.56,17,1.68,3.53,8,Bajo,25.97,11,55,2.36,5.0,7,Medio,-40.476190476190474,-41.643059490084994,12.5,-0.6799999999999999,-1.4700000000000002,1
xWarRx,LAS,28.89,8,3.61,7.5,8,Alto,28.73,7,55,4.1,7.86,7,Alto,-13.573407202216062,-4.800000000000004,12.5,-0.48999999999999977,-0.3600000000000003,1
Jaskisceviciuss,LAS,30.14,12,2.51,5.0,12,Medio,27.1,11,57,2.46,5.18,11,Medio,1.9920318725099533,-3.5999999999999943,8.333333333333332,0.04999999999999982,-0.17999999999999972,1
Don Titi,LAS,30.17,8,3.77,7.5,4,Medio,28.0,9,57,3.11,6.33,5,Medio,17.50663129973475,15.6,-25.0,0.6600000000000001,1.17,-1
SOD Un Oso Wacho,9543,24.55,6,4.09,10.0,6,Alto,25.53,6,55,4.25,9.17,5,Medio,-3.911980440097803,8.3,16.666666666666664,-0.16000000000000014,0.8300000000000001,1
Ziggsmund Freud,PANDI,28.35,6,4.73,10.0,6,Alto,29.73,7,58,4.25,8.29,7,Alto,10.147991543340389,17.10000000000001,-16.666666666666664,0.4800000000000004,1.7100000000000009,-1
Rook Gendarmerie,LAS,29.34,6,4.89,10.0,6,Alto,28.5,8,57,3.56,7.12,6,Alto,27.198364008179954,28.799999999999997,0.0,1.3299999999999996,2.88,0
Tea Lover,gkrmp,28.91,8,3.61,7.5,5,Medio,27.41,9,60,3.05,6.67,9,Medio,15.51246537396122,11.066666666666668,-80.0,0.56,0.8300000000000001,-4
chérie lueur,maia,27.16,7,3.88,8.57,7,Alto,25.99,8,56,3.25,7.0,8,Medio,16.237113402061855,18.319719953325556,-14.285714285714285,0.6299999999999999,1.5700000000000003,-1
IIIIIIIIIIIII,8413,27.43,5,5.49,12.0,5,Alto,26.57,6,58,4.43,9.67,4,Medio,19.30783242258653,19.416666666666668,20.0,1.0600000000000005,2.33,1
AlanBritoDl,LAS,29.47,6,4.91,10.0,6,Alto,28.57,7,60,4.08,8.57,6,Alto,16.904276985743383,14.299999999999995,0.0,0.8300000000000001,1.4299999999999997,0
jeshuco,777,29.94,19,1.58,3.16,10,Bajo,28.0,19,56,1.47,2.95,9,Bajo,6.962025316455701,6.645569620253163,10.0,0.1100000000000001,0.20999999999999996,1
zun,TLUCH,29.96,11,2.72,5.45,5,Bajo,30.8,21,59,1.47,2.81,3,Bajo,45.95588235294118,48.440366972477065,40.0,1.2500000000000002,2.64,2
R Inst,8092,28.9,4,7.22,15.0,4,Alto,28.55,5,59,5.71,11.8,5,Alto,20.914127423822713,21.33333333333333,-25.0,1.5099999999999998,3.1999999999999993,-1
Sephiroth,SSSSS,28.52,6,4.75,10.0,5,Medio,30.23,10,55,3.02,5.5,8,Medio,36.421052631578945,45.0,-60.0,1.73,4.5,-3
