Usuario,Tag,THT_pre,ND_pre,HPD_pre,NPPD_pre,DCJ_pre,Riesgo_pre,THT_post,ND_post,TPP_post,HPD_post,NPPD_post,DCJ_post,Riesgo_post,PRTPJ_HPD,PRTPJ_NPPD,PRTPJ_DCJ,dif_HPD,dif_NPPD,dif_DCJ
Princesa Support,3505,29.95,14,2.14,4.29,12,Medio,27.84,11,56,2.53,5.09,7,Medio,-18.224299065420546,-18.648018648018645,41.66666666666667,-0.3899999999999997,-0.7999999999999998,5
Weyes Blood,0519,27.62,8,3.45,7.5,8,Alto,27.62,8,60,3.45,7.5,8,Alto,0.0,0.0,0.0,0.0,0.0,0
katseye enjoyerr,T1LAS,27.8,17,1.64,3.53,7,Bajo,26.76,15,58,1.78,3.87,7,Bajo,-8.536585365853666,-9.631728045325788,0.0,-0.14000000000000012,-0.3400000000000003,0
Vaundy,3671,28.8,7,4.11,8.57,5,Medio,27.21,7,57,3.89,8.14,5,Medio,5.3527980535279855,5.017502917152855,0.0,0.2200000000000002,0.4299999999999997,0
Â Û R Ë Ł Ï Ã H,LAS,31.85,13,2.45,4.62,4,Bajo,27.72,10,55,2.77,5.5,9,Medio,-13.061224489795912,-19.047619047619044,-125.0,-0.31999999999999984,-0.8799999999999999,-5
Aress 2431,NDS,30.59,20,1.53,3.0,8,Bajo,31.57,19,60,1.66,3.16,7,Bajo,-8.496732026143784,-5.3333333333333375,12.5,-0.1299999999999999,-0.16000000000000014,1
CrimenMusical,LAS,29.77,12,2.48,5.0,5,Bajo,28.25,13,59,2.17,4.54,5,Bajo,12.500000000000004,9.2,0.0,0.31000000000000005,0.45999999999999996,0
Gla,LAS,29.55,24,1.23,2.5,19,Bajo,27.44,22,56,1.25,2.55,22,Bajo,-1.6260162601626031,-1.9999999999999927,-15.789473684210526,-0.020000000000000018,-0.04999999999999982,-3
kilefaa,LAS,29.65,8,3.71,7.5,4,Medio,26.96,9,54,3.0,6.0,5,Bajo,19.137466307277627,20.0,-25.0,0.71,1.5,-1
Affection,1111,26.5,11,2.41,5.45,8,Medio,25.2,11,58,2.29,5.27,7,Medio,4.979253112033199,3.302752293577993,12.5,0.1200000000000001,0.1800000000000006,1
Dvd,2799,28.06,6,4.68,10.0,6,Alto,24.72,5,55,4.94,11.0,3,Medio,-5.5555555555555705,-10.0,50.0,-0.2600000000000007,-1.0,3
Michael Olise,6x7vn,27.25,20,1.36,3.0,11,Bajo,23.85,19,54,1.26,2.84,9,Bajo,7.352941176470594,5.3333333333333375,18.181818181818183,0.10000000000000009,0.16000000000000014,2
INSECTOS,MVP,27.89,27,1.03,2.22,5,Bajo,27.96,29,59,0.96,2.03,5,Bajo,6.796116504854374,8.558558558558575,0.0,0.07000000000000006,0.1900000000000004,0
Lucas,Abs,26.92,32,0.84,1.88,7,Bajo,25.76,31,57,0.83,1.84,7,Bajo,1.1904761904761916,2.1276595744680753,0.0,0.010000000000000009,0.039999999999999813,0
Todoko,LAS,28.18,16,1.76,3.75,6,Bajo,27.65,16,59,1.73,3.69,6,Bajo,1.7045454545454561,1.6000000000000014,0.0,0.030000000000000027,0.06000000000000005,0
Ranser,434,28.28,8,3.54,7.5,8,Alto,26.88,8,57,3.36,7.12,7,Alto,5.084745762711869,5.0666666666666655,12.5,0.18000000000000016,0.3799999999999999,1
LoKio,LAS,25.53,19,1.34,3.16,14,Bajo,24.08,15,54,1.61,3.6,15,Bajo,-20.149253731343283,-13.924050632911388,-7.142857142857142,-0.27,-0.43999999999999995,-1
Chosar,SPQR,27.92,6,4.65,10.0,5,Medio,25.65,5,56,5.13,11.2,5,Alto,-10.32258064516128,-11.999999999999993,0.0,-0.47999999999999954,-1.1999999999999993,0
Nagi,2880,26.92,11,2.45,5.45,11,Medio,26.22,8,57,3.28,7.12,8,Alto,-33.87755102040815,-30.64220183486238,27.27272727272727,-0.8299999999999996,-1.67,3
YusiGuma,LAS,26.65,19,1.4,3.16,6,Bajo,23.87,19,54,1.26,2.84,6,Bajo,9.999999999999993,10.12658227848102,0.0,0.1399999999999999,0.3200000000000003,0
Webo,LAS,27.32,11,2.48,5.45,6,Medio,26.38,14,58,1.88,4.14,9,Medio,24.19354838709678,24.03669724770643,-50.0,0.6000000000000001,1.3100000000000005,-3
ferkk,111,26.99,8,3.37,7.5,8,Alto,25.13,9,57,2.79,6.33,9,Medio,17.210682492581604,15.6,-12.5,0.5800000000000001,1.17,-1
rer,16180,28.82,8,3.6,7.5,8,Alto,25.84,9,55,2.87,6.11,5,Bajo,20.27777777777778,18.533333333333328,37.5,0.73,1.3899999999999997,3
Kuro,IRON,27.79,6,4.63,10.0,6,Alto,26.82,9,57,2.98,6.33,9,Medio,35.63714902807775,36.7,-50.0,1.65,3.67,-3
OddsAgainstMe,1905,27.79,20,1.39,3.0,8,Bajo,26.04,19,57,1.37,3.0,7,Bajo,1.4388489208632946,0.0,12.5,0.019999999999999796,0.0,1
Doron,Elle,27.74,12,2.31,5.0,5,Bajo,25.02,11,55,2.27,5.0,6,Medio,1.731601731601733,0.0,-20.0,0.040000000000000036,0.0,-1
