Usuario,Tag,HPD_pre,HPD_post,PRTPJ_HPD,NPPD_pre,NPPD_post,PRTPJ_NPPD,DCJ_pre,DCJ_post,PRTPJ_DCJ,dif_HPD,dif_NPPD,dif_DCJ
God ryze,LAS,2.29,2.21,3.493449781659392,4.62,4.5,2.5974025974025996,9,10,-11.11111111111111,0.08000000000000007,0.1200000000000001,-1
Ðiush,White,2.58,2.29,11.24031007751938,5.45,4.75,12.84403669724771,5,10,-100.0,0.29000000000000004,0.7000000000000002,-5
LoanniZz,DEUS,2.86,2.67,6.6433566433566416,5.45,5.18,4.954128440366981,8,8,0.0,0.18999999999999995,0.27000000000000046,0
TTV Pikabam,001,2.27,2.2,3.0837004405286272,4.62,4.91,-6.277056277056278,6,8,-33.33333333333333,0.06999999999999984,-0.29000000000000004,-2
AvHPeaceMaker,LAS,4.03,4.23,-4.962779156327548,8.57,9.83,-14.702450408401397,7,6,14.285714285714285,-0.20000000000000018,-1.2599999999999998,1
PeelMe,Tom,3.29,3.29,0.0,6.67,6.67,0.0,4,4,0.0,0.0,0.0,0
Pmx,LAS,1.55,1.49,3.8709677419354875,3.16,3.0,5.06329113924051,11,10,9.090909090909092,0.06000000000000005,0.16000000000000014,1
El Garbanzo,LAS,1.6,2.69,-68.12499999999999,3.16,5.7,-80.37974683544303,6,6,0.0,-1.0899999999999999,-2.54,0
Duki,7763,3.71,3.04,18.059299191374663,6.67,5.6,16.041979010494757,9,10,-11.11111111111111,0.6699999999999999,1.0700000000000003,-1
fedejuega,LAS,1.66,1.72,-3.6144578313253044,3.33,3.47,-4.204204204204208,5,5,0.0,-0.06000000000000005,-0.14000000000000012,0
iJoker,LAS,2.57,2.21,14.007782101167313,5.45,4.92,9.72477064220184,8,10,-25.0,0.3599999999999999,0.5300000000000002,-2
jzsoe,LAS,2.92,2.71,7.191780821917808,6.0,5.5,8.333333333333332,10,7,30.0,0.20999999999999996,0.5,3
Haewon,1998,4.89,4.15,15.132924335378311,10.0,9.0,10.0,6,6,0.0,0.7399999999999993,1.0,0
T1Nyuloi,Nashe,1.46,1.43,2.054794520547947,2.86,2.81,1.7482517482517421,4,4,0.0,0.030000000000000027,0.04999999999999982,0
iPloxSB,1476,3.3,3.1,6.0606060606060534,7.5,6.33,15.6,7,5,28.57142857142857,0.19999999999999973,1.17,2
Willimerca,6666,1.42,1.35,4.929577464788721,3.16,3.05,3.481012658227858,6,6,0.0,0.06999999999999984,0.11000000000000032,0
TotooR2,LAS,2.72,4.09,-50.367647058823515,5.45,9.33,-71.19266055045871,11,6,45.45454545454545,-1.3699999999999997,-3.88,5
JacquesLacan,1230,1.82,1.55,14.835164835164836,4.0,3.22,19.499999999999996,13,11,15.384615384615385,0.27,0.7799999999999998,2
RJAV,1998,2.25,2.45,-8.888888888888896,4.62,5.0,-8.225108225108222,7,7,0.0,-0.20000000000000018,-0.3799999999999999,0
Nestornadoxs,LAS,3.56,3.46,2.8089887640449462,7.5,6.75,10.0,8,8,0.0,0.10000000000000009,0.75,0
Reish99,2001,1.55,1.6,-3.2258064516129057,3.16,3.28,-3.797468354430369,6,6,0.0,-0.050000000000000044,-0.11999999999999966,0
MadLife,NCS,3.31,3.72,-12.386706948640487,7.5,8.0,-6.666666666666667,8,7,12.5,-0.41000000000000014,-0.5,1
LoGoZ,LAS,1.65,1.8,-9.090909090909099,3.33,3.73,-12.01201201201201,7,6,14.285714285714285,-0.15000000000000013,-0.3999999999999999,1
SkeeLetor,LAS,2.27,1.97,13.215859030837008,5.0,4.29,14.2,8,6,25.0,0.30000000000000004,0.71,2
Gekidou,512,2.04,2.01,1.4705882352941297,4.29,4.15,3.2634032634032555,9,7,22.22222222222222,0.03000000000000025,0.13999999999999968,2
regicida,LAS69,2.1,2.06,1.9047619047619064,4.29,4.23,1.3986013986013894,10,5,50.0,0.040000000000000036,0.05999999999999961,5
Bling Bling,lowie,2.1,2.71,-29.04761904761904,4.29,5.4,-25.87412587412588,4,3,25.0,-0.6099999999999999,-1.1100000000000003,1
Asa Mitaka,Kelly,1.05,1.05,0.0,2.14,2.25,-5.140186915887844,4,5,-25.0,0.0,-0.10999999999999988,-1
Thom Merrilin,LAS,2.53,2.38,5.928853754940708,5.0,4.67,6.600000000000001,6,6,0.0,0.1499999999999999,0.33000000000000007,0
Thaizor,LAS,1.71,1.72,-0.5847953216374274,3.33,3.24,2.702702702702698,6,6,0.0,-0.010000000000000009,0.08999999999999986,0
Pingu,SEES,1.74,1.92,-10.344827586206893,3.75,4.15,-10.666666666666675,3,3,0.0,-0.17999999999999994,-0.40000000000000036,0
SinverGWENza,Gwen,1.73,2.04,-17.91907514450867,3.53,4.38,-24.079320113314452,5,4,20.0,-0.31000000000000005,-0.8500000000000001,1
222369,222,2.43,2.11,13.1687242798354,5.0,4.46,10.8,7,6,14.285714285714285,0.3200000000000003,0.54,1
Mewi,LAS,1.88,1.5,20.212765957446805,4.0,3.24,18.999999999999993,4,3,25.0,0.3799999999999999,0.7599999999999998,1
moko,1040,4.14,3.15,23.913043478260864,8.57,6.33,26.137689614935823,7,9,-28.57142857142857,0.9899999999999998,2.24,-2
Barry Chopper,LAS,1.69,1.66,1.7751479289940846,3.53,3.5,0.8498583569405045,5,5,0.0,0.030000000000000027,0.029999999999999805,0
Matisinho,000,2.16,1.84,14.814814814814817,4.29,3.75,12.587412587412588,3,3,0.0,0.32000000000000006,0.54,0
Amal2,LAS,1.67,1.92,-14.970059880239523,3.53,4.07,-15.297450424929194,8,8,0.0,-0.25,-0.5400000000000005,0
Dsá,Meins,2.22,2.81,-26.576576576576567,4.29,5.5,-28.205128205128204,6,4,33.33333333333333,-0.5899999999999999,-1.21,2
Takirø,弓の神7R,2.53,1.9,24.901185770750985,5.0,3.86,22.800000000000004,12,12,0.0,0.6299999999999999,1.1400000000000001,0
Teemomazos,PER,2.09,1.86,11.004784688995205,4.62,4.14,10.389610389610398,5,4,20.0,0.22999999999999976,0.4800000000000004,1
LoboAlfaKevin,LAS,1.33,1.66,-24.81203007518796,2.61,3.18,-21.839080459770127,9,8,11.11111111111111,-0.32999999999999985,-0.5700000000000003,1
TeShacølaCtM,LAS,2.16,2.33,-7.870370370370367,4.29,4.38,-2.0979020979020944,4,4,0.0,-0.16999999999999993,-0.08999999999999986,0
Pirlo,ush,2.15,2.0,6.976744186046507,4.62,4.38,5.194805194805199,5,4,20.0,0.1499999999999999,0.2400000000000002,1
Dito,rey,2.46,2.33,5.2845528455284505,5.0,4.67,6.600000000000001,12,8,33.33333333333333,0.1299999999999999,0.33000000000000007,4
ignaa42,LAS,1.81,1.73,4.419889502762435,3.75,3.69,1.6000000000000014,6,4,33.33333333333333,0.08000000000000007,0.06000000000000005,2
Mvko,LAS,1.42,1.39,2.1126760563380302,2.86,2.81,1.7482517482517421,9,13,-44.44444444444444,0.030000000000000027,0.04999999999999982,-4
el prokilll,LAS,2.54,2.64,-3.9370078740157513,5.0,5.18,-3.5999999999999943,4,4,0.0,-0.10000000000000009,-0.17999999999999972,0
kenyu3,LAS,1.71,1.83,-7.0175438596491295,3.75,4.0,-6.666666666666667,6,4,33.33333333333333,-0.1200000000000001,-0.25,2
jalamee,LAS,1.53,1.5,1.960784313725492,3.16,3.06,3.1645569620253196,2,2,0.0,0.030000000000000027,0.10000000000000009,0
Muerto,666,2.1,1.92,8.571428571428578,4.29,3.87,9.790209790209788,5,5,0.0,0.18000000000000016,0.41999999999999993,0
ySan97,f22b2,1.73,1.6,7.514450867052017,3.75,3.44,8.266666666666667,11,11,0.0,0.1299999999999999,0.31000000000000005,0
SOUL,JPN,2.62,2.75,-4.961832061068698,5.45,5.7,-4.587155963302751,11,10,9.090909090909092,-0.1299999999999999,-0.25,1
Joa,GLHF,1.63,1.9,-16.564417177914113,3.33,4.29,-28.82882882882883,5,9,-80.0,-0.27,-0.96,-4
Sunmy,LAS,3.99,3.19,20.050125313283214,8.57,6.88,19.71995332555426,4,5,-25.0,0.8000000000000003,1.6900000000000004,-1
Felo,BEAR,7.5,3.6,52.0,15.0,7.25,51.66666666666667,4,8,-100.0,3.9,7.75,-4
77pablito,CAI,2.11,4.67,-121.32701421800948,4.29,10.8,-151.74825174825176,6,4,33.33333333333333,-2.56,-6.510000000000001,2
RP Glasman2,LAS,1.79,2.07,-15.642458100558649,3.75,4.38,-16.799999999999997,4,4,0.0,-0.2799999999999998,-0.6299999999999999,0
El Rey Henry,KING,3.62,4.75,-31.215469613259668,8.57,11.2,-30.688448074679105,4,5,-25.0,-1.13,-2.629999999999999,-1
ATC PØLPHOENIX,LAS1,2.0,1.94,3.0000000000000027,4.0,4.0,0.0,6,6,0.0,0.06000000000000005,0.0,0
Whiskas,Curru,3.07,3.13,-1.9543973941368098,6.67,6.67,0.0,9,6,33.33333333333333,-0.06000000000000005,0.0,3
Oticangi,PPP,1.98,1.85,6.56565656565656,4.29,4.0,6.75990675990676,5,5,0.0,0.1299999999999999,0.29000000000000004,0
RIP in peperonni,LAS,1.62,2.0,-23.456790123456784,3.53,4.5,-27.478753541076493,10,12,-20.0,-0.3799999999999999,-0.9700000000000002,-2
ZT4,LAS,2.13,2.08,2.3474178403755785,4.29,4.29,0.0,10,11,-10.0,0.04999999999999982,0.0,-1
sanzok,LAS,1.11,1.11,0.0,2.31,2.31,0.0,6,6,0.0,0.0,0.0,0
IlachOne,6381,1.79,2.58,-44.134078212290504,3.53,5.45,-54.39093484419265,10,6,40.0,-0.79,-1.9200000000000004,4
Levhen,LAS,1.53,1.52,0.6535947712418306,3.16,3.22,-1.8987341772151913,4,4,0.0,0.010000000000000009,-0.06000000000000005,0
Saidpalao,AMPAY,1.1,1.07,2.7272727272727297,2.5,2.33,6.799999999999998,2,2,0.0,0.030000000000000027,0.16999999999999993,0
ajinomen,9038,1.62,1.55,4.320987654320991,3.53,3.44,2.549575070821526,3,3,0.0,0.07000000000000006,0.08999999999999986,0
Lordans,6969,1.3,1.18,9.230769230769239,3.53,3.18,9.915014164305939,6,6,0.0,0.1200000000000001,0.34999999999999964,0
LIT KILLAH,412,1.43,1.42,0.6993006993007,3.16,3.18,-0.6329113924050638,11,11,0.0,0.010000000000000009,-0.020000000000000018,0
vamosadecirquesi,LAS,1.81,1.83,-1.1049723756906087,3.75,3.8,-1.3333333333333286,5,5,0.0,-0.020000000000000018,-0.04999999999999982,0
JT 01,LAS,2.55,2.68,-5.098039215686288,5.45,5.8,-6.422018348623847,5,5,0.0,-0.13000000000000034,-0.34999999999999964,0
ComidaDelFuturo氣,ATEN,2.97,5.51,-85.5218855218855,6.67,11.2,-67.91604197901049,9,5,44.44444444444444,-2.5399999999999996,-4.529999999999999,4
Giann,LATAM,1.11,1.12,-0.9009009009009016,2.22,2.15,3.1531531531531654,8,8,0.0,-0.010000000000000009,0.07000000000000028,0
Vyak,LAS,1.91,1.71,10.471204188481673,4.0,3.56,10.999999999999998,10,7,30.0,0.19999999999999996,0.43999999999999995,3
xHoneyFish,CHL,1.18,1.22,-3.3898305084745797,2.4,2.5,-4.1666666666666705,7,7,0.0,-0.040000000000000036,-0.10000000000000009,0
Jarthar,LAS,2.42,2.32,4.132231404958682,5.45,4.83,11.376146788990829,5,5,0.0,0.10000000000000009,0.6200000000000001,0
Vayne player 1,LAS,1.47,1.23,16.3265306122449,3.0,2.7,9.999999999999993,9,7,22.22222222222222,0.24,0.2999999999999998,2
darling,zzz,2.6,2.29,11.923076923076925,5.0,4.58,8.399999999999999,12,8,33.33333333333333,0.31000000000000005,0.41999999999999993,4
LKING,MH1,3.83,2.81,26.631853785900784,7.5,5.36,28.533333333333328,8,11,-37.5,1.02,2.1399999999999997,-3
SuruyoDelSodimac,LAS,1.56,1.58,-1.2820512820512833,3.16,3.28,-3.797468354430369,8,8,0.0,-0.020000000000000018,-0.11999999999999966,0
SebastianMR,2404,3.14,2.52,19.74522292993631,6.67,5.27,20.989505247376318,5,7,-40.0,0.6200000000000001,1.4000000000000004,-2
daegu,LAS,1.71,1.69,1.1695906432748548,3.53,3.44,2.549575070821526,6,6,0.0,0.020000000000000018,0.08999999999999986,0
Intss,LAS,2.38,2.26,5.042016806722694,5.45,5.18,4.954128440366981,11,11,0.0,0.1200000000000001,0.27000000000000046,0
BlackModerm10,0000,1.26,1.26,0.0,2.73,2.81,-2.9304029304029333,6,5,16.666666666666664,0.0,-0.08000000000000007,1
S1m0n,2277,1.29,1.22,5.426356589147292,2.61,2.55,2.2988505747126458,5,5,0.0,0.07000000000000006,0.06000000000000005,0
Shamta,LAS,1.53,1.53,0.0,3.16,3.16,0.0,3,3,0.0,0.0,0.0,0
Dr Tommy,Crybb,1.44,1.72,-19.444444444444446,3.0,3.47,-15.666666666666673,8,13,-62.5,-0.28,-0.4700000000000002,-5
Nav,210,1.34,1.32,1.492537313432837,3.0,2.95,1.6666666666666607,4,4,0.0,0.020000000000000018,0.04999999999999982,0
TheBoss,T3tas,2.46,2.16,12.195121951219505,5.0,4.23,15.399999999999991,8,13,-62.5,0.2999999999999998,0.7699999999999996,-5
selfless,pain,1.24,1.2,3.2258064516129057,2.73,2.68,1.831501831501825,4,4,0.0,0.040000000000000036,0.04999999999999982,0
