Usuario,Tag,THT,ND,TPP,HPD,NPPD,DCJ,Riesgo
Princesa Support,3505,29.95,14,60,2.14,4.29,12,Medio
Weyes Blood,0519,27.62,8,60,3.45,7.5,8,Alto
katseye enjoyerr,T1LAS,27.8,17,60,1.64,3.53,7,Bajo
Vaundy,3671,28.8,7,60,4.11,8.57,5,Medio
Â Û R Ë Ł Ï Ã H,LAS,31.85,13,60,2.45,4.62,4,Bajo
Aress 2431,NDS,30.59,20,60,1.53,3.0,8,Bajo
CrimenMusical,LAS,29.77,12,60,2.48,5.0,5,Bajo
Gla,LAS,29.55,24,60,1.23,2.5,19,Bajo
kilefaa,LAS,29.65,8,60,3.71,7.5,4,Medio
Affection,1111,26.5,11,60,2.41,5.45,8,Medio
Dvd,2799,28.06,6,60,4.68,10.0,6,Alto
Michael Olise,6x7vn,27.25,20,60,1.36,3.0,11,Bajo
INSECTOS,MVP,27.89,27,60,1.03,2.22,5,Bajo
Lucas,Abs,26.92,32,60,0.84,1.88,7,Bajo
Todoko,LAS,28.18,16,60,1.76,3.75,6,Bajo
Ranser,434,28.28,8,60,3.54,7.5,8,Alto
LoKio,LAS,25.53,19,60,1.34,3.16,14,Bajo
Chosar,SPQR,27.92,6,60,4.65,10.0,5,Medio
Nagi,2880,26.92,11,60,2.45,5.45,11,Medio
YusiGuma,LAS,26.65,19,60,1.4,3.16,6,Bajo
Webo,LAS,27.32,11,60,2.48,5.45,6,Medio
ferkk,111,26.99,8,60,3.37,7.5,8,Alto
rer,16180,28.82,8,60,3.6,7.5,8,Alto
Kuro,IRON,27.79,6,60,4.63,10.0,6,Alto
OddsAgainstMe,1905,27.79,20,60,1.39,3.0,8,Bajo
Doron,Elle,27.74,12,60,2.31,5.0,5,Bajo
La magia del sur,4444,27.99,13,60,2.15,4.62,11,Medio
Luuuu,max,27.01,12,60,2.25,5.0,4,Bajo
0FF THE GRID,LAS,28.22,12,60,2.35,5.0,6,Medio
kaybroak,MVP,28.2,8,60,3.52,7.5,3,Medio
KasFesp,LAS,28.05,4,60,7.01,15.0,4,Alto
Salteño Promedio,ups,28.42,20,60,1.42,3.0,12,Bajo
zzz,trap,28.18,17,60,1.66,3.53,13,Bajo
God ryze,LAS,29.72,13,60,2.29,4.62,9,Medio
Ðiush,White,28.36,11,60,2.58,5.45,5,Bajo
LoanniZz,DEUS,31.47,11,60,2.86,5.45,8,Medio
TTV Pikabam,001,29.51,13,60,2.27,4.62,6,Medio
AvHPeaceMaker,LAS,28.18,7,60,4.03,8.57,7,Alto
PeelMe,Tom,29.63,9,60,3.29,6.67,4,Medio
Pmx,LAS,29.36,19,60,1.55,3.16,11,Bajo
El Garbanzo,LAS,30.32,19,60,1.6,3.16,6,Bajo
Duki,7763,33.43,9,60,3.71,6.67,9,Medio
fedejuega,LAS,29.94,18,60,1.66,3.33,5,Bajo
iJoker,LAS,28.31,11,60,2.57,5.45,8,Medio
jzsoe,LAS,29.22,10,60,2.92,6.0,10,Medio
Haewon,1998,29.36,6,60,4.89,10.0,6,Alto
T1Nyuloi,Nashe,30.56,21,60,1.46,2.86,4,Bajo
iPloxSB,1476,26.43,8,60,3.3,7.5,7,Alto
Willimerca,6666,26.91,19,60,1.42,3.16,6,Bajo
TotooR2,LAS,29.96,11,60,2.72,5.45,11,Medio
JacquesLacan,1230,27.31,15,60,1.82,4.0,13,Bajo
RJAV,1998,29.3,13,60,2.25,4.62,7,Medio
Nestornadoxs,LAS,28.51,8,60,3.56,7.5,8,Alto
Reish99,2001,29.4,19,60,1.55,3.16,6,Bajo
MadLife,NCS,26.47,8,60,3.31,7.5,8,Alto
LoGoZ,LAS,29.66,18,60,1.65,3.33,7,Bajo
SkeeLetor,LAS,27.2,12,60,2.27,5.0,8,Medio
